Accession,Protein_Name,Gene_symbol,Protein_Type,Sperm_Location,Caput,NC_Cauda,CORE,NegLog10_p_value,FC
Q9CYX7,RRP15-like protein,Rrp15,,,Yes,,,,
Q9CYZ2,Tumor protein D54,Tpd52l2,,,Yes,,,,
Q9CYZ6,Required for excision 1-B domain-containing protein,Rex1bd,,,Yes,,,,
Q9CZ04,COP9 signalosome complex subunit 7a,Cops7a,,Nucleus,Yes,Yes,Yes,2.474,-0.232
Q9CZ13,"Cytochrome b-c1 complex subunit 1, mitochondrial",Uqcrc1,Enzyme,Mitochondria,Yes,Yes,Yes,0.649,0.043
Q9CZ28,Vacuolar-sorting protein SNF8,Snf8,Enzyme,Nucleus,Yes,,,,
Q9CZ30,Obg-like ATPase 1,Ola1,Enzyme,Nucleus,Yes,Yes,Yes,6.443,-1.407
Q9CZ42,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,Naxd,Enzyme,,Yes,Yes,Yes,3.062,-0.352
Q9CZ42-2,Isoform 2 of ATP-dependent (S)-NAD(P)H-hydrate dehydratase,Naxd,Enzyme,,,Yes,,,
Q9CZ44,NSFL1 cofactor p47,Nsfl1c,,Nucleus,Yes,Yes,Yes,1.688,-0.186
Q9CZ57,5-methylcytosine rRNA methyltransferase NSUN4,Nsun4,Enzyme,Nucleus; Mitochondria,Yes,,,,
Q9CZ82,Mediator of RNA polymerase II transcription subunit 18,Med18,,Nucleus,Yes,,,,
Q9CZ91,Serum response factor-binding protein 1,Srfbp1,,Nucleus,Yes,,,,
Q9CZB0,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",Sdhc,Enzyme,Mitochondria,Yes,Yes,Yes,0.646,0.122
Q9CZB6,Mediator of RNA polymerase II transcription subunit 7,Med7,Transcription regulator,Nucleus,Yes,,,,
Q9CZD3,Glycine--tRNA ligase,Gars1,Enzyme,,Yes,Yes,Yes,2.713,-0.352
Q9CZE3,Ras-related protein Rab-32,Rab32,Enzyme,Mitochondria,Yes,,,,
Q9CZG3,COMM domain-containing protein 8,Commd8,,Nucleus,Yes,,,,
Q9CZG9,PDZ domain-containing protein 11,Pdzd11,,,Yes,,,,
Q9CZH8,Coiled-coil domain-containing protein 77 ,Ccdc77,,,,,,,
Q9CZJ1,Probable U3 small nucleolar RNA-associated protein 11,Utp11,,Nucleus,Yes,,,,
Q9CZL5,Pterin-4-alpha-carbinolamine dehydratase 2,Pcbd2,Enzyme,Nucleus,Yes,Yes,Yes,0.537,0.17
Q9CZM2,60S ribosomal protein L15,Rpl15,,Nucleus,Yes,Yes,Yes,4.718,-1.222
Q9CZN7,"Serine hydroxymethyltransferase, mitochondrial",Shmt2,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,2.842,-0.739
Q9CZN8,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",Qrsl1,Enzyme,,Yes,,,,
Q9CZP5,Mitochondrial chaperone BCS1,Bcs1l,,Mitochondria,Yes,Yes,Yes,2.339,0.208
Q9CZQ9,Bardet-Biedl syndrome 5 protein homolog,Bbs5,,Axoneme,Yes,Yes,Yes,2.237,0.659
Q9CZR2,N-acetylated-alpha-linked acidic dipeptidase 2,Naalad2,Peptidase,,Yes,,,,
Q9CZR8,"Elongation factor Ts, mitochondrial",Tsfm,Translation regulator,Mitochondria,Yes,Yes,Yes,3.423,-0.991
Q9CZS1,"Aldehyde dehydrogenase X, mitochondrial",Aldh1b1,Enzyme,Mitochondria,Yes,,,,
Q9CZT6,Protein CMSS1,Cmss1,,,Yes,,,,
Q9CZU3,Exosome RNA helicase MTR4,Mtrex,Enzyme,Nucleus,Yes,,,,
Q9CZU6,"Citrate synthase, mitochondrial",Cs,Enzyme,Mitochondria,Yes,Yes,Yes,0.308,0.015
Q9CZV5,STAGA complex 65 subunit gamma,Supt7l,Transcription regulator,Nucleus,Yes,,,,
Q9CZV8,F-box/LRR-repeat protein 20,Fbxl20,,,Yes,,,,
Q9CZW2,Centromere protein N,Cenpn,,Nucleus,,Yes,,,
Q9CZW4,Long-chain-fatty-acid--CoA ligase 3,Acsl3,Enzyme,Mitochondria,Yes,Yes,Yes,1.61,-1.325
Q9CZW5,Mitochondrial import receptor subunit TOM70,Tomm70,Transporter,Mitochondria,Yes,,,,
Q9CZX0,Elongator complex protein 3,Elp3,Enzyme,Nucleus,Yes,,,,
Q9CZX5,PIN2/TERF1-interacting telomerase inhibitor 1,Pinx1,,Nucleus,Yes,,,,
Q9CZX7,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",Pip4p2,Phosphatase,,Yes,,,,
Q9CZX8,40S ribosomal protein S19,Rps19,,,Yes,Yes,Yes,4.54,-1.313
Q9CZX9,ER membrane protein complex subunit 4,Emc4,,,Yes,,,,
Q9CZY3,Ubiquitin-conjugating enzyme E2 variant 1,Ube2v1,Transcription regulator,Nucleus,Yes,Yes,Yes,3.761,1.593
Q9D009,"Putative lipoyltransferase 2, mitochondrial",Lipt2,Enzyme,,Yes,,,,
Q9D020,Cytosolic 5'-nucleotidase 3A,Nt5c3a,Phosphatase,,Yes,,,,
Q9D023,Mitochondrial pyruvate carrier 2,Mpc2,,Mitochondria,Yes,Yes,Yes,1.525,0.14
Q9D024,Coiled-coil domain-containing protein 47,Ccdc47,,,Yes,Yes,Yes,3.894,-1.992
Q9D051,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Pdhb,Enzyme,Mitochondria,Yes,Yes,Yes,0.275,0.04
Q9D061,Acyl-CoA-binding domain-containing protein 6,Acbd6,,,Yes,,,,
Q9D067,Nuclear protein MDM1,Mdm1,,Nucleus,Yes,,,,
Q9D071,MMS19 nucleotide excision repair protein homolog,Mms19,Transcription regulator,Nucleus,Yes,Yes,Yes,2.78,-1.065
Q9D081,UDP-N-acetylglucosamine transferase subunit ALG14 homolog,Alg14,Enzyme,Nucleus,Yes,,,,
Q9D0A3,Arpin,Arpin,,,Yes,,,,
Q9D0B0,Serine/arginine-rich splicing factor 9,Srsf9,Enzyme,Nucleus,Yes,,,,
Q9D0B5,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 ,Tstd3,,,,,,,
Q9D0B6,Protein PBDC1,Pbdc1,,,Yes,,,,
Q9D0B8,RIB43A-like with coiled-coils protein 1,Ribc1,,,Yes,Yes,Yes,3.718,0.389
Q9D0C4,tRNA (guanine(37)-N1)-methyltransferase,Trmt5,,Nucleus; Mitochondria,Yes,,,,
Q9D0D3,"Poly(A) RNA polymerase, mitochondrial",Mtpap,Enzyme,,Yes,,,,
Q9D0D4,Probable dimethyladenosine transferase,Dimt1,Enzyme,Nucleus; Mitochondria,Yes,,,,
Q9D0D5,General transcription factor IIE subunit 1,Gtf2e1,Transcription regulator,Nucleus,Yes,,,,
Q9D0E1,Heterogeneous nuclear ribonucleoprotein M,Hnrnpm,,Nucleus,Yes,Yes,Yes,5.797,-1.729
Q9D0F3,Protein ERGIC-53,Lman1,,,Yes,Yes,Yes,3.82,-1.571
Q9D0F6,Replication factor C subunit 5,Rfc5,Enzyme,Nucleus,Yes,,,,
Q9D0F9,Phosphoglucomutase-1,Pgm1,Enzyme,,Yes,Yes,Yes,3.221,-0.524
Q9D0G0,"28S ribosomal protein S30, mitochondrial",Mrps30,Enzyme,Mitochondria,Yes,,,,
Q9D0I4,Syntaxin-17,Stx17,Transporter,Mitochondria,Yes,,,,
Q9D0I8,mRNA turnover protein 4 homolog,Mrto4,,Nucleus,Yes,,,,
Q9D0I9,"Arginine--tRNA ligase, cytoplasmic",Rars1,Enzyme,Nucleus,Yes,Yes,Yes,3.229,-0.373
Q9D0J4,ADP-ribosylation factor-like protein 2,Arl2,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,2.732,-0.662
Q9D0K1,Peroxisomal membrane protein PEX13,Pex13,Transporter,,Yes,,,,
Q9D0K2,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",Oxct1,Enzyme,Mitochondria,Yes,Yes,Yes,4.057,-0.693
Q9D0L4,AarF domain-containing protein kinase 1,Adck1,Kinase,Mitochondria,Yes,Yes,Yes,2.75,-0.582
Q9D0L7,Armadillo repeat-containing protein 10,Armc10,,,Yes,Yes,Yes,2.54,-0.848
Q9D0L8,mRNA cap guanine-N7 methyltransferase,Rnmt,Enzyme,Nucleus,Yes,,,,
Q9D0M0,Exosome complex exonuclease RRP42,Exosc7,Enzyme,Nucleus,Yes,,,,
Q9D0M1,Phosphoribosyl pyrophosphate synthase-associated protein 1,Prpsap1,,,Yes,Yes,Yes,0.439,0.314
Q9D0M3,"Cytochrome c1, heme protein, mitochondrial",Cyc1,Enzyme,Mitochondria,Yes,Yes,Yes,0.784,0.061
Q9D0M5,"Dynein light chain 2, cytoplasmic",Dynll2,,,Yes,Yes,Yes,0.454,0.083
Q9D0P8,Intraflagellar transport protein 27 homolog,Ift27,Enzyme,Mid-piece,Yes,Yes,Yes,0.243,0.055
Q9D0Q7,"39S ribosomal protein L45, mitochondrial",Mrpl45,,Mitochondria,Yes,,,,
Q9D0R2,"Threonine--tRNA ligase 1, cytoplasmic",Tars1,Enzyme,,Yes,Yes,Yes,3.125,-1.99
Q9D0R4,Probable ATP-dependent RNA helicase DDX56,Ddx56,Enzyme,Nucleus,Yes,,,,
Q9D0R9,WD repeat-containing protein 89,Wdr89,,,Yes,,,,
Q9D0S9,"Histidine triad nucleotide-binding protein 2, mitochondrial",Hint2,,,Yes,Yes,Yes,3.232,-1.23
Q9D0T1,NHP2-like protein 1,Snu13,,Nucleus,Yes,Yes,Yes,4.573,-2.689
Q9D0W5,Peptidyl-prolyl cis-trans isomerase-like 1,Ppil1,Enzyme,Nucleus,Yes,Yes,Yes,2.991,-0.751
Q9D0Z3,Transmembrane protein 53,Tmem53,,,Yes,Yes,Yes,1.606,-0.375
Q9D110,5-formyltetrahydrofolate cyclo-ligase,Mthfs,Enzyme,Mitochondria,Yes,,,,
Q9D113,DNL-type zinc finger protein,Dnlz,,,Yes,,,,
Q9D114,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1",Hddc3,,,Yes,,,,
Q9D125,"28S ribosomal protein S25, mitochondrial",Mrps25,,Mitochondria,Yes,,,,
Q9D131,UPF0686 protein C11orf1 homolog,,,Nucleus,Yes,,,,
Q9D131-2,Isoform 2 of UPF0686 protein C11orf1 homolog,,,Nucleus,,Yes,,,
Q9D132,Uroplakin-1a,Upk1a,,,Yes,,,,
Q9D136,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3,Ogfod3,Enzyme,,Yes,,,,
Q9D142,Uridine diphosphate glucose pyrophosphatase NUDT14,Nudt14,Phosphatase,,Yes,,,,
Q9D162,Coiled-coil domain-containing protein 167,Ccdc167,,,Yes,,,,
Q9D168,Integrator complex subunit 12,Ints12,,Nucleus,Yes,,,,
Q9D172,"Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial",Gatd3a,,,Yes,Yes,Yes,2.161,-0.158
Q9D180,Cilia- and flagella-associated protein 57,Cfap57,,,Yes,Yes,Yes,2.854,0.319
Q9D187,Cytosolic iron-sulfur assembly component 2B,Ciao2b,,Nucleus,Yes,,,,
Q9D198,Pre-mRNA-splicing factor SYF2,Syf2,,Nucleus,Yes,,,,
Q9D1A2,Cytosolic non-specific dipeptidase,Cndp2,Peptidase,,Yes,Yes,Yes,4.354,-1.81
Q9D1B8,Doublecortin domain-containing protein 2C,Dcdc2c,,Flagellum,Yes,Yes,Yes,3.245,1.106
Q9D1B9,"39S ribosomal protein L28, mitochondrial",Mrpl28,,Mitochondria,Yes,,,,
Q9D1C3,"Protein preY, mitochondrial",Pyurf,,,Yes,,,,
Q9D1C8,Vacuolar protein sorting-associated protein 28 homolog,Vps28,Transporter,,Yes,Yes,Yes,3.346,-1.442
Q9D1C9,Ribosomal RNA-processing protein 7 homolog A,Rrp7a,,,Yes,,,,
Q9D1D4,Transmembrane emp24 domain-containing protein 10,Tmed10,Transporter,,Yes,Yes,Yes,4.657,-1.779
Q9D1E6,Tubulin-folding cofactor B,Tbcb,,,Yes,Yes,Yes,1.19,-0.256
Q9D1E8,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,Agpat5,Enzyme,Nucleus,Yes,Yes,Yes,0.197,-0.181
Q9D1F4,Proline-rich AKT1 substrate 1,Akt1s1,,Nucleus,Yes,,,,
Q9D1G0,Deoxyribonuclease-1-like 2,Dnase1l2,,Nucleus,Yes,Yes,Yes,2.838,0.784
Q9D1G1,Ras-related protein Rab-1B,Rab1b,,,Yes,Yes,Yes,4.184,-1.48
Q9D1G2,Phosphomevalonate kinase,Pmvk,Kinase,,Yes,,,,
Q9D1G3,Protein-cysteine N-palmitoyltransferase HHAT-like protein,Hhatl,Enzyme,,Yes,,,,
Q9D1G5,Leucine-rich repeat-containing protein 57,Lrrc57,,,Yes,Yes,Yes,3.527,0.586
Q9D1H6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,Ndufaf4,,Mitochondria,Yes,Yes,Yes,2.195,-0.46
Q9D1H7,Golgi to ER traffic protein 4 homolog,Get4,,,Yes,Yes,Yes,2.019,0.538
Q9D1H8,"39S ribosomal protein L53, mitochondrial",Mrpl53,,Mitochondria,Yes,,,,
Q9D1H9,Microfibril-associated glycoprotein 4,Mfap4,,,Yes,,,,
Q9D1I2,Caspase recruitment domain-containing protein 19,Card19,,Mitochondria,Yes,,,,
Q9D1I5,"Methylmalonyl-CoA epimerase, mitochondrial",Mcee,Enzyme,,Yes,,,,
Q9D1I6,"39S ribosomal protein L14, mitochondrial",Mrpl14,,Mitochondria,Yes,,,,
Q9D1J1,Adaptin ear-binding coat-associated protein 2,Necap2,,,Yes,,,,
Q9D1J3,SAP domain-containing ribonucleoprotein,Sarnp,Transcription regulator,Nucleus,Yes,,,,
Q9D1K2,V-type proton ATPase subunit F,Atp6v1f,Enzyme,,Yes,Yes,Yes,1.157,-0.541
Q9D1K7,UPF0687 protein C20orf27 homolog,,,,,Yes,,,
Q9D1L0,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2,Chchd2,,Nucleus; Mitochondria,Yes,,,,
Q9D1L9,Ragulator complex protein LAMTOR5,Lamtor5,,,Yes,,,,
Q9D1M0,Protein SEC13 homolog,Sec13,Transporter,Nucleus,Yes,Yes,Yes,3.554,-2.338
Q9D1M4,Eukaryotic translation elongation factor 1 epsilon-1,Eef1e1,Translation regulator,Nucleus,Yes,,,,
Q9D1M7,Peptidyl-prolyl cis-trans isomerase FKBP11,Fkbp11,Enzyme,,Yes,,,,
Q9D1N9,"39S ribosomal protein L21, mitochondrial",Mrpl21,,Mitochondria,Yes,,,,
Q9D1P0,"39S ribosomal protein L13, mitochondrial",Mrpl13,,Mitochondria,Yes,,,,
Q9D1P4,Cysteine and histidine-rich domain-containing protein 1,Chordc1,,,Yes,,,,
Q9D1Q1,M-phase phosphoprotein 6,Mphosph6,,Nucleus,Yes,,,,
Q9D1Q4,Dolichol-phosphate mannosyltransferase subunit 3,Dpm3,Enzyme,,Yes,Yes,Yes,3.762,-1.374
Q9D1Q6,Endoplasmic reticulum resident protein 44,Erp44,Enzyme,,Yes,Yes,Yes,4.734,-1.548
Q9D1R9,60S ribosomal protein L34,Rpl34,,,Yes,Yes,Yes,4.126,-1.177
Q9D1T0,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,Lingo1,,,Yes,,,,
Q9D211,CDKN2AIP N-terminal-like protein,Cdkn2aipnl,,,Yes,,,,
Q9D258,Acyl-CoA-binding domain-containing protein 7,Acbd7,,,Yes,,,,
Q9D263,Kunitz-type protease inhibitor 4,Spint4,,,,Yes,,,
Q9D267,Epididymal-specific lipocalin-9,Lcn9,Transporter,,Yes,Yes,Yes,7.526,-1.909
Q9D269,Cystatin-11,Cst11,,Nucleus; Flagellum,Yes,Yes,Yes,4.046,-1.662
Q9D273,Corrinoid adenosyltransferase,Mmab,Enzyme,,Yes,Yes,Yes,3.128,-0.84
Q9D281,Protein Noxp20,Fam114a1,,,Yes,,,,
Q9D287,Pre-mRNA-splicing factor SPF27,Bcas2,,Nucleus,Yes,,,,
Q9D289,Trafficking protein particle complex subunit 6B,Trappc6b,,,Yes,Yes,Yes,0.782,0.076
Q9D2C2,Protein SAAL1,Saal1,,Nucleus,Yes,,,,
Q9D2C6,DNA-directed RNA polymerase III subunit RPC8,Polr3h,Enzyme,Nucleus,Yes,,,,
Q9D2C7,Bax inhibitor 1,Tmbim6,,Mitochondria,Yes,Yes,Yes,2.714,-1.302
Q9D2D7,Zinc finger protein 687,Znf687,Transcription regulator,Nucleus,Yes,,,,
Q9D2E1,Testis-specific serine/threonine-protein kinase 3,Tssk3,Kinase,Nucleus,,Yes,,,
Q9D2E2,Target of EGR1 protein 1,Toe1,Enzyme,Nucleus,Yes,,,,
Q9D2E9,Transmembrane protein 190,Tmem190,,Acrosome,Yes,Yes,Yes,0.147,0.025
Q9D2F5,O(6)-methylguanine-induced apoptosis 2,Stpg1,,Nucleus,Yes,Yes,Yes,4.254,0.538
Q9D2F7,Nuclear pore membrane glycoprotein 210-like,Nup210l,,,Yes,Yes,Yes,1.483,0.566
Q9D2G2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Dlst,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,1.832,-0.068
Q9D2H2,Adenylate kinase 7,Ak7,Kinase,Flagellum,Yes,Yes,Yes,1.84,0.436
Q9D2H5,Tripartite motif-containing protein 42,Trim42,,,Yes,Yes,Yes,3.121,0.602
Q9D2H8,Fibronectin type III domain-containing protein 8,Fndc8,,,Yes,Yes,Yes,0.512,0.068
Q9D2J7,Ankyrin repeat and EF-hand domain-containing protein 1,Ankef1,Transcription regulator,,Yes,Yes,Yes,2.427,0.446
Q9D2K4,IQ domain-containing protein H,Iqch,,,Yes,Yes,Yes,1.767,1.655
Q9D2M8,Ubiquitin-conjugating enzyme E2 variant 2,Ube2v2,Enzyme,Nucleus,Yes,,,,
Q9D2N9,Vacuolar protein sorting-associated protein 33A,Vps33a,Transporter,,Yes,,,,
Q9D2Q8,Protein S100-A14,S100a14,,,Yes,,,,
Q9D2R0,Acetoacetyl-CoA synthetase,Aacs,Enzyme,,Yes,,,,
Q9D2R6,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",Coa3,,Mitochondria,Yes,,,,
Q9D2R8,"28S ribosomal protein S33, mitochondrial",Mrps33,,Mitochondria,Yes,,,,
Q9D2S4,Sperm acrosome-associated protein 7,Spaca7,,Acrosome,Yes,Yes,Yes,0.168,-0.076
Q9D2U9,Histone H2B type 3-A,Hist3h2ba,,Nucleus,Yes,,,,
Q9D2V7,Coronin-7,Coro7,,,Yes,,,,
Q9D2V8,Major facilitator superfamily domain-containing protein 10,Mfsd10,Transporter,Nucleus,Yes,,,,
Q9D2X5,MAU2 chromatid cohesion factor homolog,Mau2,,Nucleus,Yes,,,,
Q9D2Z4,Sentrin-specific protease 8,Senp8,Peptidase,Nucleus,Yes,Yes,Yes,1.511,0.718
Q9D304,E3 ubiquitin-protein ligase RNF128,Rnf128,Enzyme,,Yes,,,,
Q9D338,"39S ribosomal protein L19, mitochondrial",Mrpl19,,Nucleus; Mitochondria,Yes,,,,
Q9D358,Low molecular weight phosphotyrosine protein phosphatase,Acp1,Phosphatase,,Yes,Yes,Yes,1.468,-0.18
Q9D358-2,Isoform 2 of Low molecular weight phosphotyrosine protein phosphatase,Acp1,Phosphatase,,Yes,Yes,Yes,0.229,0.132
Q9D379,Epoxide hydrolase 1,Ephx1,Peptidase,,Yes,Yes,Yes,4.595,-1.091
Q9D3B1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2,Hacd2,Phosphatase,,Yes,Yes,Yes,2.947,-0.716
Q9D3D9,"ATP synthase subunit delta, mitochondrial",Atp5f1d,Transporter,Mitochondria,Yes,Yes,Yes,0.546,0.071
Q9D3E6,Cohesin subunit SA-1,Stag1,,Nucleus,Yes,,,,
Q9D3J5,Ankyrin repeat domain-containing protein 22,Ankrd22,Transcription regulator,,Yes,,,,
Q9D3N2,EF-hand calcium-binding domain-containing protein 1,Efcab1,,Axoneme,Yes,Yes,Yes,2.634,0.488
Q9D3P8,Plasminogen receptor (KT),Plgrkt,,,Yes,Yes,Yes,3.512,-0.695
Q9D3R5,Ig-like V-type domain-containing protein FAM187A,Fam187a,,,,Yes,,,
Q9D3S5,NADP-dependent oxidoreductase domain-containing protein 1,Noxred1,,,,Yes,,,
Q9D3S9,Probable serine carboxypeptidase CPVL,Cpvl,Peptidase,,Yes,Yes,Yes,1.659,0.382
Q9D3U0,tRNA pseudouridine synthase Pus10,Pus10,,Nucleus; Mitochondria,Yes,,,,
Q9D3V1,Dynein regulatory complex protein 10,Iqcd,,Axoneme,Yes,Yes,Yes,2.199,0.4
Q9D3W1,Radial spoke head 14 homolog,Rsph14,,,Yes,Yes,Yes,2.848,0.469
Q9D3W5,Leucine-rich repeat-containing protein 71,Lrrc71,,,Yes,Yes,Yes,2.137,0.407
Q9D404,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",Oxsm,Kinase,,Yes,Yes,Yes,2.955,0.167
Q9D411,Testis-specific serine/threonine-protein kinase 4,Tssk4,Kinase,Acrosome; Nucleus; Flagellum,Yes,Yes,Yes,2.684,0.484
Q9D416,ADP-ribosylation factor-like protein 13A,Arl13a,,,Yes,Yes,Yes,1.319,0.602
Q9D424,Calcium-binding tyrosine phosphorylation-regulated protein,Cabyr,,Flagellum,Yes,Yes,Yes,2.933,1.64
Q9D424-2,Isoform 2 of Calcium-binding tyrosine phosphorylation-regulated protein,Cabyr,,Flagellum,Yes,Yes,Yes,3.732,-1.248
Q9D439,Cilia- and flagella-associated protein 53,Cfap53,,,Yes,Yes,Yes,2.617,0.357
Q9D483,DNA-directed RNA polymerase III subunit RPC3,Polr3c,Enzyme,Nucleus,Yes,,,,
Q9D485,EF-hand domain-containing family member C2,Efhc2,,Axoneme,Yes,Yes,Yes,2.82,0.351
Q9D486,C-Maf-inducing protein,Cmip,,Nucleus,Yes,,,,
Q9D4B2,Tetratricopeptide repeat protein 25,Ttc25,,Axoneme,Yes,Yes,Yes,1.979,0.326
Q9D4C1,Lamin tail domain-containing protein 1,Lmntd1,,Nucleus,,Yes,,,
Q9D4C6,LRP2-binding protein,Lrp2bp,,,Yes,Yes,Yes,3.337,0.807
Q9D4D4,Transketolase-like protein 2,Tktl2,Enzyme,,,Yes,,,
Q9D4F2,Phospholipid phosphatase 6,Plpp6,Phosphatase,,Yes,Yes,Yes,2.745,-0.742
Q9D4H1,Exocyst complex component 2,Exoc2,Transporter,,Yes,,,,
Q9D4H2,GRIP and coiled-coil domain-containing protein 1,Gcc1,,,Yes,,,,
Q9D4H8,Cullin-2,Cul2,Enzyme,,Yes,Yes,Yes,2.185,-0.325
Q9D4H9-2,Isoform 2 of PHD finger protein 14,Phf14,,Nucleus,Yes,,,,
Q9D4J7,PHD finger protein 6,Phf6,Transcription regulator,Nucleus,Yes,,,,
Q9D4K5,Protein FAM166A,Fam166a,,,Yes,Yes,Yes,2.059,0.186
Q9D4K7,Coiled-coil domain-containing protein 105,Ccdc105,,,Yes,Yes,Yes,1.697,0.258
Q9D4P7,Glutathione S-transferase theta-4,Gstt4,,,Yes,Yes,Yes,2.753,0.809
Q9D4Q1,RIB43A-like with coiled-coils protein 2,Ribc2,,,Yes,Yes,Yes,1.076,0.141
Q9D4V3,Coiled-coil domain-containing protein 83,Ccdc83,,,Yes,Yes,Yes,2.286,0.674
Q9D4V6,TOMM20-like protein 1,Tomm20l,,Mitochondria,,Yes,,,
Q9D4V7,Rab-like protein 3,Rabl3,Enzyme,,Yes,,,,
Q9D4W2,Protein MFI,Mfi,,Mitochondria,,Yes,,,
Q9D4Y8,Transmembrane protein 269,Tmem269,,,,Yes,,,
Q9D517,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,Agpat3,Enzyme,Nucleus,Yes,Yes,Yes,4.623,-1.115
Q9D518,Protein FAM227B,Fam227b,,,Yes,Yes,Yes,1.403,0.421
Q9D529,Postacrosomal sheath WW domain-binding protein,Wbp2nl,,Nucleus; Perinuclear theca; Flagellum,Yes,Yes,Yes,2.065,0.453
Q9D534,Zinc finger C2HC domain-containing protein 1B,Zc2hc1b,,,,Yes,,,
Q9D541,Coiled-coil domain-containing protein 7,Ccdc7,,,Yes,Yes,Yes,2.692,0.781
Q9D552,Spermatogenesis-associated protein 17,Spata17,,,Yes,Yes,Yes,2.648,0.536
Q9D554,Splicing factor 3A subunit 3,Sf3a3,,Nucleus,Yes,Yes,Yes,5.163,-2.61
Q9D565,WD repeat-containing protein 64,Wdr64,,,Yes,Yes,Yes,3.093,0.437
Q9D572,UBX domain-containing protein 11,Ubxn11,,,Yes,Yes,Yes,3.354,0.646
Q9D581,EF-hand calcium-binding domain-containing protein 10,Efcab10,,,Yes,Yes,Yes,1.724,0.269
Q9D593,V-type proton ATPase subunit E 2,Atp6v1e2,Transporter,,Yes,Yes,Yes,1.213,0.414
Q9D5A0,Sperm equatorial segment protein 1,Spesp1,,Acrosome,Yes,Yes,Yes,1.559,0.151
Q9D5A9,Inactive ribonuclease-like protein 10,Rnase10,,,Yes,Yes,Yes,5.949,-1.76
Q9D5D8,Chromodomain Y-like protein 2,Cdyl2,,Nucleus,Yes,,,,
Q9D5E4,Dynein regulatory complex subunit 3,Drc3,,Axoneme,Yes,Yes,Yes,0.065,0.034
Q9D5H4,"Ferritin, mitochondrial",Ftmt,Enzyme,,Yes,Yes,Yes,2.056,0.711
Q9D5I4,Tctex1 domain-containing protein 1,Tctex1d1,,,,Yes,,,
Q9D5J6,Sedoheptulokinase,Shpk,Kinase,,Yes,,,,
Q9D5K1,Transmembrane protein 81,Tmem81,,,,Yes,,,
Q9D5N8,Spermidine/spermine N(1)-acetyltransferase-like protein 1,Satl1,,,Yes,Yes,Yes,2.489,0.396
Q9D5Q8,Uncharacterized protein C1orf141 homolog,,,,Yes,Yes,Yes,2.796,1.149
Q9D5S7,Leucine-rich repeat and guanylate kinase domain-containing protein,Lrguk,,Acrosome,Yes,Yes,Yes,1.876,0.566
Q9D5T0,ATPase family AAA domain-containing protein 1,Atad1,Enzyme,Mitochondria,Yes,Yes,Yes,2.844,-0.955
Q9D5U0,Lysophosphatidylcholine acyltransferase 2B,Lpcat2b,,,Yes,Yes,Yes,2.184,1.225
Q9D5U5,Pseudouridine-5'-phosphatase,Pudp,Enzyme,,Yes,Yes,Yes,2.785,1.119
Q9D5U8,Cyclic nucleotide-binding domain-containing protein 2,Cnbd2,,,Yes,Yes,Yes,3.728,0.963
Q9D5V2,Kelch-like protein 10,Klhl10,,,Yes,Yes,Yes,2.171,0.318
Q9D5V5,Cullin-5,Cul5,Ion channel,Nucleus,Yes,Yes,Yes,4.808,-1.205
Q9D5V6,Synapse-associated protein 1,Syap1,,Nucleus,Yes,,,,
Q9D5W4,Coiled-coil domain-containing protein 81,Ccdc81,,,Yes,Yes,Yes,3.334,0.859
Q9D5W8,Testis-expressed protein 47,Tex47,,,Yes,Yes,Yes,2.744,0.546
Q9D5Y0,Uncharacterized protein C7orf31 homolog,,Transporter,,Yes,Yes,Yes,2.547,0.37
Q9D5Y1,Coiled-coil domain-containing protein 39,Ccdc39,,Axoneme,Yes,Yes,Yes,2.279,0.491
Q9D620,Rab11 family-interacting protein 1,Rab11fip1,,,Yes,,,,
Q9D650,Protein LRATD1,Lratd1,,,Yes,,,,
Q9D662,Protein transport protein Sec23B,Sec23b,Transporter,,Yes,,,,
Q9D665,Short-chain dehydrogenase/reductase family 42E member 1,Sdr42e1,Enzyme,,Yes,,,,
